2022-05-09,154.925,155.83,151.49,152.06,131577921.0,1103707
2022-05-10,155.52,156.74,152.93,154.51,115366736.0,988257
2022-05-11,153.5,155.45,145.81,146.5,142547625.0,1310796
2022-05-12,142.77,146.2,138.8,142.56,182408091.0,1678454
2022-05-13,144.59,148.105,143.11,147.11,113990852.0,920506
2022-05-16,145.55,147.5199,144.18,145.54,86643781.0,699719
2022-05-17,148.86,149.77,146.68,149.24,78138254.0,609263
2022-05-18,146.85,147.3601,139.9,140.82,109742890.0,982288
2022-05-19,139.88,141.66,136.6,137.35,135863540.0,1219746
2022-05-20,139.09,140.7,132.61,137.59,137392625.0,1133362
2022-05-23,137.79,143.26,137.65,143.11,117726265.0,851032
2022-05-24,140.805,141.97,137.33,140.36,104132746.0,812515
2022-05-25,138.43,141.785,138.34,140.52,92482696.0,688316
2022-05-26,137.39,144.34,137.14,143.78,90601098.0,670652
2022-05-27,145.39,149.68,145.26,149.64,91425110.0,686376
2022-05-31,149.07,150.66,146.84,148.84,103718416.0,706652
2022-06-01,149.9,151.74,147.68,148.71,74286635.0,629251
2022-06-02,147.83,151.27,146.86,151.21,72348055.0,574552
2022-06-03,146.9,147.97,144.46,145.38,88570289.0,761195
